"publication_id","publication_code","study_id","group_description","between_id","observation_id","dataset_id","subject","block","trial","condition_id","congruency","accuracy","rt"
5,"pratte_2010_exploring",26,"University students (US)",26,712825,30,4694,4,55,36,1,1,2.9889
5,"pratte_2010_exploring",26,"University students (US)",26,712826,30,4694,4,56,36,2,1,2.602695
5,"pratte_2010_exploring",26,"University students (US)",26,712827,30,4694,4,57,36,2,1,1.230845
5,"pratte_2010_exploring",26,"University students (US)",26,712828,30,4694,4,58,36,2,1,1.734059
5,"pratte_2010_exploring",26,"University students (US)",26,712829,30,4694,4,59,36,1,1,1.679015
5,"pratte_2010_exploring",26,"University students (US)",26,712832,30,4694,4,62,36,1,1,2.014913
5,"pratte_2010_exploring",26,"University students (US)",26,712833,30,4694,4,63,36,1,1,1.051375
5,"pratte_2010_exploring",26,"University students (US)",26,712834,30,4694,4,64,36,2,1,1.168718
5,"pratte_2010_exploring",26,"University students (US)",26,712835,30,4694,4,65,36,2,1,2.421074
5,"pratte_2010_exploring",26,"University students (US)",26,712838,30,4694,4,68,36,2,1,1.74706
5,"pratte_2010_exploring",26,"University students (US)",26,712840,30,4694,4,70,36,1,1,1.091078
5,"pratte_2010_exploring",26,"University students (US)",26,712842,30,4694,4,72,36,1,1,1.240613
5,"pratte_2010_exploring",26,"University students (US)",26,712849,30,4694,5,7,36,1,1,0.988587
5,"pratte_2010_exploring",26,"University students (US)",26,712850,30,4694,5,8,36,2,1,1.527232
5,"pratte_2010_exploring",26,"University students (US)",26,712851,30,4694,5,9,36,1,1,1.114222
5,"pratte_2010_exploring",26,"University students (US)",26,712852,30,4694,5,10,36,2,1,1.584954
5,"pratte_2010_exploring",26,"University students (US)",26,712853,30,4694,5,11,36,2,1,1.149583
5,"pratte_2010_exploring",26,"University students (US)",26,712854,30,4694,5,12,36,2,1,1.346385
5,"pratte_2010_exploring",26,"University students (US)",26,712856,30,4694,5,14,36,1,1,0.531691
5,"pratte_2010_exploring",26,"University students (US)",26,712857,30,4694,5,15,36,2,1,0.966127
5,"pratte_2010_exploring",26,"University students (US)",26,712860,30,4694,5,18,36,2,1,0.965234
5,"pratte_2010_exploring",26,"University students (US)",26,712861,30,4694,5,19,36,1,1,1.391932
5,"pratte_2010_exploring",26,"University students (US)",26,712862,30,4694,5,20,36,1,1,1.987183
5,"pratte_2010_exploring",26,"University students (US)",26,712863,30,4694,5,21,36,2,1,0.916994
5,"pratte_2010_exploring",26,"University students (US)",26,712864,30,4694,5,22,36,2,1,0.909235
5,"pratte_2010_exploring",26,"University students (US)",26,712867,30,4694,5,25,36,1,1,0.724953
5,"pratte_2010_exploring",26,"University students (US)",26,712868,30,4694,5,26,36,2,1,1.097662
5,"pratte_2010_exploring",26,"University students (US)",26,712869,30,4694,5,27,36,2,1,2.131346
5,"pratte_2010_exploring",26,"University students (US)",26,712870,30,4694,5,28,36,1,1,1.20893
5,"pratte_2010_exploring",26,"University students (US)",26,712871,30,4694,5,29,36,2,1,1.228062
5,"pratte_2010_exploring",26,"University students (US)",26,712876,30,4694,5,34,36,2,1,2.163796
5,"pratte_2010_exploring",26,"University students (US)",26,712878,30,4694,5,36,36,1,1,1.193353
5,"pratte_2010_exploring",26,"University students (US)",26,712880,30,4694,5,38,36,2,1,2.455033
5,"pratte_2010_exploring",26,"University students (US)",26,712881,30,4694,5,39,36,1,1,2.321729
5,"pratte_2010_exploring",26,"University students (US)",26,712882,30,4694,5,40,36,2,0,1.659611
5,"pratte_2010_exploring",26,"University students (US)",26,712883,30,4694,5,41,36,2,1,1.81072
5,"pratte_2010_exploring",26,"University students (US)",26,712885,30,4694,5,43,36,2,0,1.491174
5,"pratte_2010_exploring",26,"University students (US)",26,712886,30,4694,5,44,36,2,1,1.284606
5,"pratte_2010_exploring",26,"University students (US)",26,712887,30,4694,5,45,36,1,1,1.729814
5,"pratte_2010_exploring",26,"University students (US)",26,712889,30,4694,5,47,36,1,1,2.047763
5,"pratte_2010_exploring",26,"University students (US)",26,712895,30,4694,5,53,36,1,1,1.129299
5,"pratte_2010_exploring",26,"University students (US)",26,712896,30,4694,5,54,36,1,1,2.322527
5,"pratte_2010_exploring",26,"University students (US)",26,712898,30,4694,5,56,36,2,1,1.450941
5,"pratte_2010_exploring",26,"University students (US)",26,712899,30,4694,5,57,36,1,1,1.299705
5,"pratte_2010_exploring",26,"University students (US)",26,712903,30,4694,5,61,36,1,1,1.1987
5,"pratte_2010_exploring",26,"University students (US)",26,712904,30,4694,5,62,36,1,1,2.625192
5,"pratte_2010_exploring",26,"University students (US)",26,712905,30,4694,5,63,36,1,1,1.290106
5,"pratte_2010_exploring",26,"University students (US)",26,712906,30,4694,5,64,36,1,1,1.167517
5,"pratte_2010_exploring",26,"University students (US)",26,712907,30,4694,5,65,36,2,1,1.238636
5,"pratte_2010_exploring",26,"University students (US)",26,712908,30,4694,5,66,36,1,1,1.330333
5,"pratte_2010_exploring",26,"University students (US)",26,712910,30,4694,5,68,36,2,1,1.349869
5,"pratte_2010_exploring",26,"University students (US)",26,712912,30,4694,5,70,36,1,1,1.434701
5,"pratte_2010_exploring",26,"University students (US)",26,712913,30,4694,5,71,36,1,1,1.151526
5,"pratte_2010_exploring",26,"University students (US)",26,712914,30,4694,5,72,36,1,1,1.10213
5,"pratte_2010_exploring",26,"University students (US)",26,712918,30,4694,6,4,36,1,1,1.219058
5,"pratte_2010_exploring",26,"University students (US)",26,712919,30,4694,6,5,36,2,1,2.943014
5,"pratte_2010_exploring",26,"University students (US)",26,712921,30,4694,6,7,36,2,1,1.11326
5,"pratte_2010_exploring",26,"University students (US)",26,712922,30,4694,6,8,36,2,1,2.020995
5,"pratte_2010_exploring",26,"University students (US)",26,712924,30,4694,6,10,36,1,1,1.984296
5,"pratte_2010_exploring",26,"University students (US)",26,712925,30,4694,6,11,36,2,1,1.886399
5,"pratte_2010_exploring",26,"University students (US)",26,712926,30,4694,6,12,36,1,1,1.265832
5,"pratte_2010_exploring",26,"University students (US)",26,712927,30,4694,6,13,36,1,1,1.450284
5,"pratte_2010_exploring",26,"University students (US)",26,712928,30,4694,6,14,36,1,1,0.873541
5,"pratte_2010_exploring",26,"University students (US)",26,712930,30,4694,6,16,36,1,1,0.926312
5,"pratte_2010_exploring",26,"University students (US)",26,712932,30,4694,6,18,36,1,1,1.116394
5,"pratte_2010_exploring",26,"University students (US)",26,712933,30,4694,6,19,36,2,1,0.976859
5,"pratte_2010_exploring",26,"University students (US)",26,712937,30,4694,6,23,36,1,1,1.083169
5,"pratte_2010_exploring",26,"University students (US)",26,712938,30,4694,6,24,36,2,1,1.466984
5,"pratte_2010_exploring",26,"University students (US)",26,712939,30,4694,6,25,36,2,1,1.780725
5,"pratte_2010_exploring",26,"University students (US)",26,712940,30,4694,6,26,36,2,1,2.502517
5,"pratte_2010_exploring",26,"University students (US)",26,712941,30,4694,6,27,36,2,1,1.373005
5,"pratte_2010_exploring",26,"University students (US)",26,712942,30,4694,6,28,36,1,1,1.083428
