"datasetid","subject","block","trial","congruency","between","within","accuracy","rt"
51,5,1,61,2,NA,1,1,0.47
51,5,1,62,1,NA,1,1,0.505
51,5,1,63,1,NA,1,1,0.606
51,5,1,64,2,NA,1,1,0.582
51,5,1,65,2,NA,1,1,0.676
51,5,1,66,2,NA,1,1,0.568
51,5,1,67,2,NA,1,1,0.642
51,5,1,68,2,NA,1,1,0.676
51,5,1,69,1,NA,1,1,0.592
51,5,1,70,2,NA,1,1,0.669
51,5,1,71,2,NA,1,1,0.638
51,5,1,72,2,NA,1,1,0.614
51,5,1,73,2,NA,1,1,0.703
51,5,1,74,1,NA,1,1,0.437
51,5,1,75,1,NA,1,1,0.535
51,5,1,76,2,NA,1,1,0.635
51,5,1,77,2,NA,1,1,0.494
51,5,1,78,2,NA,1,1,0.52
51,5,1,79,1,NA,1,1,0.576
51,5,1,80,2,NA,1,1,0.576
51,5,1,81,2,NA,1,1,0.736
51,5,1,82,2,NA,1,1,0.58
51,5,1,83,2,NA,1,1,0.559
51,5,1,84,1,NA,1,1,0.509
51,5,1,85,2,NA,1,1,0.678
51,5,1,86,1,NA,1,1,0.596
51,5,1,87,1,NA,1,1,0.522
51,5,1,88,1,NA,1,1,0.587
51,5,1,89,2,NA,1,1,0.549
51,5,1,90,1,NA,1,1,0.551
51,5,1,91,1,NA,1,1,0.602
51,5,1,92,2,NA,1,1,0.63
51,5,1,93,1,NA,1,1,0.618
51,5,1,94,1,NA,1,1,0.618
51,5,1,95,1,NA,1,1,0.496
51,5,1,96,2,NA,1,1,0.572
51,6,1,4,2,NA,1,1,0.732
51,6,1,5,2,NA,1,1,0.699
51,6,1,6,2,NA,1,0,0.645
51,6,1,7,1,NA,1,1,0.828
51,6,1,8,2,NA,1,1,0.797
51,6,1,9,2,NA,1,1,0.63
51,6,1,10,2,NA,1,1,0.946
51,6,1,11,2,NA,1,1,0.853
51,6,1,12,1,NA,1,1,0.985
51,6,1,13,2,NA,1,1,0.627
51,6,1,14,2,NA,1,1,0.642
51,6,1,15,2,NA,1,1,0.688
51,6,1,16,2,NA,1,1,0.81
51,6,1,17,1,NA,1,1,1.134
51,6,1,19,1,NA,1,1,0.965
51,6,1,20,2,NA,1,1,0.984
51,6,1,22,1,NA,1,1,0.496
51,6,1,23,2,NA,1,1,0.636
51,6,1,24,1,NA,1,1,0.828
51,6,1,25,2,NA,1,1,0.813
51,6,1,26,1,NA,1,1,0.647
51,6,1,27,2,NA,1,1,0.881
51,6,1,28,1,NA,1,1,0.585
51,6,1,29,2,NA,1,1,0.775
51,6,1,30,2,NA,1,1,0.65
51,6,1,31,2,NA,1,1,0.894
51,6,1,32,2,NA,1,1,0.595
51,6,1,33,1,NA,1,1,0.652
51,6,1,34,2,NA,1,1,0.63
51,6,1,35,1,NA,1,1,0.542
51,6,1,36,1,NA,1,1,0.6
51,6,1,37,2,NA,1,0,0.869
51,6,1,38,2,NA,1,1,0.911
51,6,1,39,1,NA,1,1,1.249
51,6,1,40,2,NA,1,1,0.653
51,6,1,41,1,NA,1,1,0.453
51,6,1,42,1,NA,1,1,0.451
51,6,1,43,1,NA,1,0,0.927
51,6,1,44,2,NA,1,1,0.929
51,6,1,45,1,NA,1,1,0.676
51,6,1,46,1,NA,1,1,0.898
51,6,1,47,1,NA,1,1,0.549
51,6,1,48,2,NA,1,1,0.932
51,6,1,49,1,NA,1,1,0.711
51,6,1,50,2,NA,1,1,0.645
51,6,1,51,1,NA,1,1,0.88
51,6,1,52,2,NA,1,1,0.973
51,6,1,53,1,NA,1,1,0.816
51,6,1,54,2,NA,1,1,0.928
51,6,1,55,2,NA,1,1,0.68
51,6,1,56,2,NA,1,1,0.65
51,6,1,57,2,NA,1,1,0.988
51,6,1,58,2,NA,1,1,0.815
51,6,1,59,2,NA,1,1,0.84
